gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ exhausted T cells	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.365	1.538	0.387	1.545	0.7	1.744	1.461	1.78	1.653	0.216	0.761	0.6
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.007	0.005	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.007	0.005	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.007	0.005	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.007	0.005	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.007	0.005	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.0	0.035	0.004	0.039	0.027	0.055	0.017	0.016	0.0	0.0	0.051	0.034
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.005
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.254	1.092	0.274	0.594	0.172	0.419	0.579	0.608	0.0	0.05	0.633	0.054
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0	0.0	0.0	0.0	0.002	0.0	0.006	0.0	0.0	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.0	0.035	0.004	0.039	0.027	0.055	0.017	0.016	0.0	0.0	0.051	0.034
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.167	0.343	0.152	0.244	0.072	0.207	0.296	0.338	0.0	0.21	0.109	0.131
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.005
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.254	1.092	0.274	0.594	0.172	0.419	0.579	0.608	0.0	0.05	0.633	0.054
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.263	0.071	0.181	0.353	0.235	0.232	0.178	0.26	0.0	0.062	0.329	0.182
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.0	0.0	0.0	0.019	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.081	0.079	0.038	0.049	0.167	0.099	0.103	0.19	0.0	0.074	0.169	0.07
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.152	0.063	0.246	0.044	0.172	0.051	0.164	0.098	0.0	0.132	0.03	0.082
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.637	0.654	0.83	0.705	0.893	0.439	0.816	0.828	2.246	0.646	0.433	0.692
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0
