"","tf","cell_type","avg","std"
"1","AHR","Atypical NKT cells",-1.53682813398208,0.780378789415808
"2","AHR","CD8+ CD73+ regulatory T cells",-0.765176520672087,0.800546346091973
"3","AHR","CD8+ central memory T cells",-0.606013457333851,0.896837248244254
"4","AHR","CD8+ cycling effector T cells",-1.51218410215374,1.08914428984256
"5","AHR","CD8+ effector memory T cells 1",-1.26614862338761,0.943866428167379
"6","AHR","CD8+ effector memory T cells 2",-1.53219539239291,0.886110081392249
"7","AHR","CD8+ naive T cells",-1.07325117265315,0.886886358357853
"8","AHR","CD8+ NK-like early effector T cells",-0.819686587947297,0.865448172813146
"9","AHR","CD8+ NK-like TEMRA cells",-1.57290124463863,0.920166064218815
"10","AHR","CD8+ TEMRA cells",-1.61252228152607,0.849094390778353
"11","AHR","Gamma Delta T cells",-1.36101102238957,0.843896832746957
"12","AHR","MAIT cells",-1.08070514977877,0.914014074949287
"13","AR","Atypical NKT cells",-2.56874232287138,1.11958625615744
"14","AR","CD8+ CD73+ regulatory T cells",-3.05933388197214,1.13949275803668
"15","AR","CD8+ central memory T cells",-3.04364783272813,1.18260073707414
"16","AR","CD8+ cycling effector T cells",-1.2724186097049,1.09496210228696
"17","AR","CD8+ effector memory T cells 1",-2.79253114104813,1.16803770190632
"18","AR","CD8+ effector memory T cells 2",-2.08657085720011,1.21207453636112
"19","AR","CD8+ naive T cells",-3.1158370397473,1.12829608915618
"20","AR","CD8+ NK-like early effector T cells",-3.09320929397525,1.15118186068713
"21","AR","CD8+ NK-like TEMRA cells",-2.42588348906847,1.14406223638861
"22","AR","CD8+ TEMRA cells",-2.61602091308854,1.1741547523635
"23","AR","Gamma Delta T cells",-2.45280873501877,1.00742468230791
"24","AR","MAIT cells",-2.32609322509739,1.2250463619991
"25","ARID2","Atypical NKT cells",-3.68774360468431,1.03493531712184
"26","ARID2","CD8+ CD73+ regulatory T cells",-3.22648777409793,1.0854288193539
"27","ARID2","CD8+ central memory T cells",-3.41751306273045,1.12483236282623
"28","ARID2","CD8+ cycling effector T cells",-2.69238297469699,1.44486949619499
"29","ARID2","CD8+ effector memory T cells 1",-3.26112830219776,1.15740947396455
"30","ARID2","CD8+ effector memory T cells 2",-3.07993368484431,1.23242494150624
"31","ARID2","CD8+ naive T cells",-3.37434271596446,1.119019947909
"32","ARID2","CD8+ NK-like early effector T cells",-3.43854230585575,1.21520940240783
"33","ARID2","CD8+ NK-like TEMRA cells",-3.23596496814323,1.19373598238377
"34","ARID2","CD8+ TEMRA cells",-3.40207668292638,1.1209570108195
"35","ARID2","Gamma Delta T cells",-3.44803438768441,1.20501245864269
"36","ARID2","MAIT cells",-2.89071078802528,1.18288405951338
"37","ARID3A","Atypical NKT cells",-1.96754836446045,0.930111689771523
"38","ARID3A","CD8+ CD73+ regulatory T cells",-1.83072025432605,0.950274942209832
"39","ARID3A","CD8+ central memory T cells",-1.56553621640279,1.08555360587694
"40","ARID3A","CD8+ cycling effector T cells",-1.95002600076631,1.15677579940055
"41","ARID3A","CD8+ effector memory T cells 1",-1.82302265056484,0.974056823829054
"42","ARID3A","CD8+ effector memory T cells 2",-1.7428589495324,1.03110734186725
"43","ARID3A","CD8+ naive T cells",-1.46000256124683,0.91176713420144
"44","ARID3A","CD8+ NK-like early effector T cells",-1.63370891107148,1.10919834783333
"45","ARID3A","CD8+ NK-like TEMRA cells",-1.68696731877753,1.0331691094582
"46","ARID3A","CD8+ TEMRA cells",-1.77658629624707,1.015024080644
"47","ARID3A","Gamma Delta T cells",-1.66768398119076,0.904711853881478
"48","ARID3A","MAIT cells",-1.38696867116807,1.03983440340161
"49","ARNT","Atypical NKT cells",-0.990440672096071,0.802034225106984
"50","ARNT","CD8+ CD73+ regulatory T cells",-0.914440459979441,0.95167184042179
"51","ARNT","CD8+ central memory T cells",-0.642310673751531,0.888071519304202
"52","ARNT","CD8+ cycling effector T cells",-1.04591955261139,1.0678308242583
"53","ARNT","CD8+ effector memory T cells 1",-1.05737692009116,0.913729685525596
"54","ARNT","CD8+ effector memory T cells 2",-1.01586609231979,0.91417930167726
"55","ARNT","CD8+ naive T cells",-1.02682408139892,0.864785128939589
"56","ARNT","CD8+ NK-like early effector T cells",-0.851294539121205,0.853900265750825
"57","ARNT","CD8+ NK-like TEMRA cells",-0.937770463333744,0.890141717279562
"58","ARNT","CD8+ TEMRA cells",-0.982169975811021,0.897220331500377
"59","ARNT","Gamma Delta T cells",-1.01860574305827,0.970932691062764
"60","ARNT","MAIT cells",-0.930245720340289,0.880295134484639
"61","ARNTL","Atypical NKT cells",-0.974164331140711,0.550239074043783
"62","ARNTL","CD8+ CD73+ regulatory T cells",-0.991972947390472,0.577178963901146
"63","ARNTL","CD8+ central memory T cells",-1.00608297640209,0.605707239312914
"64","ARNTL","CD8+ cycling effector T cells",-1.31826136900418,0.643121477027167
"65","ARNTL","CD8+ effector memory T cells 1",-0.988224235011582,0.593044032111484
"66","ARNTL","CD8+ effector memory T cells 2",-1.13334803482421,0.554418768082565
"67","ARNTL","CD8+ naive T cells",-1.02180653250573,0.491145073476764
"68","ARNTL","CD8+ NK-like early effector T cells",-1.00366644194722,0.584295927223028
"69","ARNTL","CD8+ NK-like TEMRA cells",-0.952183155469947,0.624805629890542
"70","ARNTL","CD8+ TEMRA cells",-0.90909685497388,0.639940879162123
"71","ARNTL","Gamma Delta T cells",-0.922111463322765,0.586488379059834
"72","ARNTL","MAIT cells",-0.722344254321473,0.811555036896646
"73","ASCL1","Atypical NKT cells",-0.325344986413292,0.657175347928931
"74","ASCL1","CD8+ CD73+ regulatory T cells",-0.68679727057781,0.656820560366348
"75","ASCL1","CD8+ central memory T cells",-0.716616916366984,0.682851231026776
"76","ASCL1","CD8+ cycling effector T cells",-1.10142142519294,0.790875163954174
"77","ASCL1","CD8+ effector memory T cells 1",-0.716315808307389,0.659867909368662
"78","ASCL1","CD8+ effector memory T cells 2",-0.803168658642548,0.646459967705554
"79","ASCL1","CD8+ naive T cells",-0.611500396938788,0.58959749755009
"80","ASCL1","CD8+ NK-like early effector T cells",-0.676562388817649,0.702968223050666
"81","ASCL1","CD8+ NK-like TEMRA cells",-0.643279858570553,0.717547333752959
"82","ASCL1","CD8+ TEMRA cells",-0.537567338327581,0.685783219813906
"83","ASCL1","Gamma Delta T cells",-0.461698204140564,0.598512560395433
"84","ASCL1","MAIT cells",-1.08534125785101,0.677650476603962
"85","ATF1","Atypical NKT cells",0.361172854294155,0.936580866619778
"86","ATF1","CD8+ CD73+ regulatory T cells",0.368927732459255,0.972707036281851
"87","ATF1","CD8+ central memory T cells",0.475370777715426,0.918935314575085
"88","ATF1","CD8+ cycling effector T cells",0.313774426977552,0.793214875210625
"89","ATF1","CD8+ effector memory T cells 1",0.148243032650992,1.0047229086146
"90","ATF1","CD8+ effector memory T cells 2",0.397512214775717,0.981405324748029
"91","ATF1","CD8+ naive T cells",0.194314694445001,0.953176008865788
"92","ATF1","CD8+ NK-like early effector T cells",0.425968790968026,0.985654242073755
"93","ATF1","CD8+ NK-like TEMRA cells",0.277893364790122,0.987118434973935
"94","ATF1","CD8+ TEMRA cells",0.262838999969621,0.989036488124052
"95","ATF1","Gamma Delta T cells",0.321027806201269,1.10833934695863
"96","ATF1","MAIT cells",0.55575207690327,1.03568674877395
"97","ATF2","Atypical NKT cells",-2.05950199863277,0.744930627045183
"98","ATF2","CD8+ CD73+ regulatory T cells",0.00222585071497918,0.979480065684563
"99","ATF2","CD8+ central memory T cells",-0.22131550409357,1.08081309333761
"100","ATF2","CD8+ cycling effector T cells",-1.28276428168296,1.13073811924247
"101","ATF2","CD8+ effector memory T cells 1",-0.737819305747309,1.0793755792647
