"","tf","cell_type","avg","std"
"1","AHR","Atypical NKT cells",-1.48475998996413,0.497180053579832
"2","AHR","CD8+ CD73+ regulatory T cells",-0.425670609475572,0.856453386135446
"3","AHR","CD8+ central memory T cells",-0.369695648124021,0.856587474928222
"4","AHR","CD8+ cycling effector T cells",-1.27731842678493,0.865592514466107
"5","AHR","CD8+ effector memory T cells 1",-0.732262989438339,0.819521489443541
"6","AHR","CD8+ effector memory T cells 2",-0.940595298561807,0.88083085844992
"7","AHR","CD8+ exhausted T cells",0.236279737016756,NA
"8","AHR","CD8+ naive T cells",-0.523271410570183,0.825213251677383
"9","AHR","CD8+ NK-like early effector T cells",-0.68406931046829,0.774359526343587
"10","AHR","CD8+ NK-like TEMRA cells",-0.813846653537699,0.827311022836519
"11","AHR","CD8+ TEMRA cells",-0.965984164265074,0.784256960174993
"12","AHR","Gamma Delta T cells",-0.759411455241112,0.825901440313404
"13","AHR","MAIT cells",-0.622269438039573,0.790617455984081
"14","AR","Atypical NKT cells",-1.88387273910592,1.33680419060681
"15","AR","CD8+ CD73+ regulatory T cells",-2.88410127613213,1.14721474218519
"16","AR","CD8+ central memory T cells",-3.13445049233931,1.14778862677246
"17","AR","CD8+ cycling effector T cells",-1.83202319101089,1.20505375908751
"18","AR","CD8+ effector memory T cells 1",-2.78514531451228,1.21442814037437
"19","AR","CD8+ effector memory T cells 2",-2.18100698282756,1.25262319489822
"20","AR","CD8+ exhausted T cells",-1.41815006876127,NA
"21","AR","CD8+ naive T cells",-3.20062613405863,1.18971979084849
"22","AR","CD8+ NK-like early effector T cells",-2.8212659976831,1.07112321052415
"23","AR","CD8+ NK-like TEMRA cells",-2.74291908369633,1.18593426966367
"24","AR","CD8+ TEMRA cells",-2.83095046219937,1.16583619147785
"25","AR","Gamma Delta T cells",-2.30917798594567,1.1159873433106
"26","AR","MAIT cells",-2.608790644042,1.17169285124548
"27","ARID2","Atypical NKT cells",-3.8618726249933,0.933346871696969
"28","ARID2","CD8+ CD73+ regulatory T cells",-3.00637369134534,1.13693119791862
"29","ARID2","CD8+ central memory T cells",-3.08200438939464,1.09432241712949
"30","ARID2","CD8+ cycling effector T cells",-3.22458689794991,1.14301559231131
"31","ARID2","CD8+ effector memory T cells 1",-3.13342642806201,1.14288486703916
"32","ARID2","CD8+ effector memory T cells 2",-3.00834410148182,1.2590133920829
