"","tf","cell_type","avg","std"
"1","AHR","CD8+ CD73+ regulatory T cells",-0.954069846922445,0.987645937466687
"2","AHR","CD8+ central memory T cells",-0.792370995134128,0.949626454286818
"3","AHR","CD8+ cycling effector T cells",-1.55128462176222,0.899342542874651
"4","AHR","CD8+ effector memory T cells 1",-1.08498273025112,0.964626717101796
"5","AHR","CD8+ effector memory T cells 2",-1.17918866840847,0.851882933386642
"6","AHR","CD8+ exhausted T cells",0.0861166699236326,NA
"7","AHR","CD8+ naive T cells",-1.06443701829372,0.864389600199044
"8","AHR","CD8+ NK-like early effector T cells",-0.931478447362087,0.903849122582127
"9","AHR","CD8+ NK-like TEMRA cells",-1.19575684061468,0.946706747863377
"10","AHR","CD8+ TEMRA cells",-1.2451475033848,0.893708428062846
"11","AHR","Gamma Delta T cells",-1.08027559305125,0.849188788369506
"12","AHR","MAIT cells",-1.15104044944898,0.941600326896573
"13","AR","CD8+ CD73+ regulatory T cells",-2.56004390575326,1.13659790375463
"14","AR","CD8+ central memory T cells",-2.71222189500199,1.17060282950764
"15","AR","CD8+ cycling effector T cells",-1.62788905511088,1.27959866137523
"16","AR","CD8+ effector memory T cells 1",-2.32174553828823,1.08335247595224
"17","AR","CD8+ effector memory T cells 2",-2.12339784748529,1.01084207213036
"18","AR","CD8+ exhausted T cells",-2.49064997799403,NA
"19","AR","CD8+ naive T cells",-2.65736097048838,1.04801113459603
"20","AR","CD8+ NK-like early effector T cells",-2.60610471309419,1.17980323949006
"21","AR","CD8+ NK-like TEMRA cells",-2.21691234850251,1.05257914462956
"22","AR","CD8+ TEMRA cells",-2.24207439404756,1.15115194549351
"23","AR","Gamma Delta T cells",-2.12308454178974,1.08636930039649
"24","AR","MAIT cells",-2.01939572267817,1.11346587796339
"25","ARID2","CD8+ CD73+ regulatory T cells",-2.78491868593595,1.22758782719123
"26","ARID2","CD8+ central memory T cells",-2.98505750560778,1.17279170563298
"27","ARID2","CD8+ cycling effector T cells",-3.07817597653422,1.74560325524617
"28","ARID2","CD8+ effector memory T cells 1",-2.87396892192845,1.30371437536709
"29","ARID2","CD8+ effector memory T cells 2",-2.91224839388219,1.15447369432082
"30","ARID2","CD8+ exhausted T cells",-2.79077593817876,NA
"31","ARID2","CD8+ naive T cells",-2.91506978921653,1.23390790956826
"32","ARID2","CD8+ NK-like early effector T cells",-2.94921226771753,1.1594453420106
"33","ARID2","CD8+ NK-like TEMRA cells",-2.91506134827287,1.16773440685757
"34","ARID2","CD8+ TEMRA cells",-3.15926017277357,1.19775792189536
"35","ARID2","Gamma Delta T cells",-3.20043751424062,1.16804593107192
"36","ARID2","MAIT cells",-2.77741319821981,1.22504807551823
"37","ARID3A","CD8+ CD73+ regulatory T cells",-2.01239785529852,1.13426072684865
"38","ARID3A","CD8+ central memory T cells",-1.58513459123028,1.15105064077399
"39","ARID3A","CD8+ cycling effector T cells",-2.02222094142757,1.21306846548286
"40","ARID3A","CD8+ effector memory T cells 1",-1.81968876802738,1.18946099843847
"41","ARID3A","CD8+ effector memory T cells 2",-1.7378570993355,1.12205604596349
"42","ARID3A","CD8+ exhausted T cells",-2.41887796031925,NA
"43","ARID3A","CD8+ naive T cells",-1.52480297262923,1.0405630302332
"44","ARID3A","CD8+ NK-like early effector T cells",-1.86140388200064,1.10405942010797
"45","ARID3A","CD8+ NK-like TEMRA cells",-1.7733142918009,1.04430823877152
"46","ARID3A","CD8+ TEMRA cells",-1.78379058303722,1.10530027585106
"47","ARID3A","Gamma Delta T cells",-1.57793107249941,1.13503478596318
"48","ARID3A","MAIT cells",-1.80017083073811,1.06931912155843
"49","ARNT","CD8+ CD73+ regulatory T cells",-0.484688166921888,0.802342166288752
"50","ARNT","CD8+ central memory T cells",-0.224398304871224,0.955389389938797
"51","ARNT","CD8+ cycling effector T cells",-0.869458562860711,0.624297185259854
"52","ARNT","CD8+ effector memory T cells 1",-0.58803276878664,0.851557327229346
"53","ARNT","CD8+ effector memory T cells 2",-0.514234037743824,0.936076493895558
"54","ARNT","CD8+ exhausted T cells",-1.09668049326964,NA
"55","ARNT","CD8+ naive T cells",-0.674570271160253,0.777896121520569
"56","ARNT","CD8+ NK-like early effector T cells",-0.37490610132815,0.81577074236134
"57","ARNT","CD8+ NK-like TEMRA cells",-0.425870205015883,0.92327350062801
"58","ARNT","CD8+ TEMRA cells",-0.498309460369497,0.904304758083517
"59","ARNT","Gamma Delta T cells",-0.313207265127191,0.898983707347568
"60","ARNT","MAIT cells",-0.360018936427814,0.877251470507691
"61","ARNTL","CD8+ CD73+ regulatory T cells",-1.05826405820396,0.661292751017728
"62","ARNTL","CD8+ central memory T cells",-1.13457992792493,0.658646792991379
"63","ARNTL","CD8+ cycling effector T cells",-1.20028596898513,0.722242747222437
"64","ARNTL","CD8+ effector memory T cells 1",-1.10435676498915,0.65474290148347
"65","ARNTL","CD8+ effector memory T cells 2",-1.0800929983476,0.765254956620206
"66","ARNTL","CD8+ exhausted T cells",-1.31454223266314,NA
"67","ARNTL","CD8+ naive T cells",-1.17665644483617,0.550608244830998
"68","ARNTL","CD8+ NK-like early effector T cells",-1.08759437168483,0.687417175653004
"69","ARNTL","CD8+ NK-like TEMRA cells",-1.11597802744008,0.622118790159727
"70","ARNTL","CD8+ TEMRA cells",-1.01925970823929,0.715370919387433
"71","ARNTL","Gamma Delta T cells",-0.985023817580475,0.745953398336419
"72","ARNTL","MAIT cells",-0.767370953097891,0.774604910209512
"73","ASCL1","CD8+ CD73+ regulatory T cells",-1.32587685825034,0.643588576929162
"74","ASCL1","CD8+ central memory T cells",-1.31894188278298,0.734228795068165
"75","ASCL1","CD8+ cycling effector T cells",-1.21866414210764,0.765929398273346
"76","ASCL1","CD8+ effector memory T cells 1",-1.35113677750136,0.687167967837048
"77","ASCL1","CD8+ effector memory T cells 2",-0.978203511633134,0.835284954425808
"78","ASCL1","CD8+ exhausted T cells",-1.61512324955046,NA
"79","ASCL1","CD8+ naive T cells",-1.20587529977991,0.694432257609281
"80","ASCL1","CD8+ NK-like early effector T cells",-1.27044606977638,0.83388902931672
"81","ASCL1","CD8+ NK-like TEMRA cells",-1.09623952155027,0.884700580009565
"82","ASCL1","CD8+ TEMRA cells",-0.905134504323081,0.722294209240894
"83","ASCL1","Gamma Delta T cells",-0.829067342515192,0.828244610614925
"84","ASCL1","MAIT cells",-1.48176903222787,0.752506474706766
"85","ATF1","CD8+ CD73+ regulatory T cells",0.497237086744444,0.976930961380115
"86","ATF1","CD8+ central memory T cells",0.5613842482684,0.8840415046539
"87","ATF1","CD8+ cycling effector T cells",1.04880440193933,0.919141208440253
"88","ATF1","CD8+ effector memory T cells 1",0.554992163489858,0.913886720458634
"89","ATF1","CD8+ effector memory T cells 2",0.561626909064191,0.896867583255492
"90","ATF1","CD8+ exhausted T cells",1.39755305832902,NA
"91","ATF1","CD8+ naive T cells",0.455337557981987,0.855150407469201
"92","ATF1","CD8+ NK-like early effector T cells",0.834248959215651,0.956503342736962
"93","ATF1","CD8+ NK-like TEMRA cells",0.550656782913936,0.960426032975676
"94","ATF1","CD8+ TEMRA cells",0.685022576545815,0.975997582565883
"95","ATF1","Gamma Delta T cells",0.798332124555923,0.898769794220697
"96","ATF1","MAIT cells",0.530327269579423,1.04964298720766
"97","ATF2","CD8+ CD73+ regulatory T cells",0.152911303951032,1.03272460862956
"98","ATF2","CD8+ central memory T cells",-0.364784557616125,0.955512678764696
"99","ATF2","CD8+ cycling effector T cells",-0.093790376934376,0.854900479845077
"100","ATF2","CD8+ effector memory T cells 1",-0.138757084509681,0.967202007311999
"101","ATF2","CD8+ effector memory T cells 2",-0.527360093867953,0.888676776496109
"102","ATF2","CD8+ exhausted T cells",-1.25911261429343,NA
"103","ATF2","CD8+ naive T cells",-0.361041826404333,0.806388906808067
"104","ATF2","CD8+ NK-like early effector T cells",-0.371879699910154,0.927789563808749
"105","ATF2","CD8+ NK-like TEMRA cells",-0.479451837085641,0.89041520444953
