"","tf","cell_type","avg","std"
"1","AHR","Atypical NKT cells",-2.09104118219416,0.559148019723523
"2","AHR","CD8+ CD73+ regulatory T cells",-0.811661359505574,0.876103792913458
"3","AHR","CD8+ central memory T cells",-0.862116122229545,0.918057935189028
"4","AHR","CD8+ cycling effector T cells",-1.4919683608546,0.942366783807138
"5","AHR","CD8+ effector memory T cells 1",-0.976635021980911,0.941602325995097
"6","AHR","CD8+ effector memory T cells 2",-0.995691811140011,0.979098080145767
"7","AHR","CD8+ naive T cells",-1.18310131478433,0.88214382353293
"8","AHR","CD8+ NK-like early effector T cells",-0.867144593787567,0.946150919622244
"9","AHR","CD8+ NK-like TEMRA cells",-1.12375752179136,0.936858833307344
"10","AHR","CD8+ TEMRA cells",-1.25744647302015,0.887359396850159
"11","AHR","Gamma Delta T cells",-1.15402684937231,0.75396475152337
"12","AHR","MAIT cells",-0.896426251013354,0.96064093507563
"13","AR","Atypical NKT cells",-2.37952351954789,0.867619085141752
"14","AR","CD8+ CD73+ regulatory T cells",-2.60651266843125,1.10398067667951
"15","AR","CD8+ central memory T cells",-2.58577278103182,1.14490069692053
"16","AR","CD8+ cycling effector T cells",-2.00586493267763,1.12150085841327
"17","AR","CD8+ effector memory T cells 1",-2.54385758261581,1.13839868121652
"18","AR","CD8+ effector memory T cells 2",-2.2317815887512,1.14225731290958
"19","AR","CD8+ naive T cells",-2.58890016439961,1.08286398300127
"20","AR","CD8+ NK-like early effector T cells",-2.79462021918346,1.13093003586428
"21","AR","CD8+ NK-like TEMRA cells",-2.40940578300625,1.21149012732762
"22","AR","CD8+ TEMRA cells",-2.44980193351312,1.14198542714668
"23","AR","Gamma Delta T cells",-2.20735303950185,1.37372591510022
"24","AR","MAIT cells",-2.26407348989146,1.14071803494328
"25","ARID2","Atypical NKT cells",-4.35972612318184,0.543552027226467
"26","ARID2","CD8+ CD73+ regulatory T cells",-3.26394851302021,1.3328307988654
"27","ARID2","CD8+ central memory T cells",-3.37655559806816,1.2627914601674
"28","ARID2","CD8+ cycling effector T cells",-3.36808509638913,1.18312053337494
"29","ARID2","CD8+ effector memory T cells 1",-3.38925990896207,1.28667341646152
"30","ARID2","CD8+ effector memory T cells 2",-3.30093798962082,1.31782076371527
"31","ARID2","CD8+ naive T cells",-3.39882607562263,1.27234763562809
"32","ARID2","CD8+ NK-like early effector T cells",-3.38564017175724,1.23925578244316
"33","ARID2","CD8+ NK-like TEMRA cells",-3.419876470518,1.1877851215567
"34","ARID2","CD8+ TEMRA cells",-3.50174503552931,1.25940330874019
"35","ARID2","Gamma Delta T cells",-3.42401902262379,1.26065010389815
"36","ARID2","MAIT cells",-3.29660988845696,1.32108685921631
"37","ARID3A","Atypical NKT cells",-1.24256075725471,1.34036135941161
"38","ARID3A","CD8+ CD73+ regulatory T cells",-1.45132919886999,1.05974280873157
"39","ARID3A","CD8+ central memory T cells",-1.39670178729962,1.08463024801697
"40","ARID3A","CD8+ cycling effector T cells",-1.78311367072219,1.13274732795505
"41","ARID3A","CD8+ effector memory T cells 1",-1.63643379825858,1.07826737202593
"42","ARID3A","CD8+ effector memory T cells 2",-1.64314785597424,1.16376370930786
"43","ARID3A","CD8+ naive T cells",-1.19932294439292,0.9910820718198
"44","ARID3A","CD8+ NK-like early effector T cells",-1.64831368299906,1.01549167374002
"45","ARID3A","CD8+ NK-like TEMRA cells",-1.60215533828501,1.04345716831764
"46","ARID3A","CD8+ TEMRA cells",-1.79791889422062,1.00632001077714
"47","ARID3A","Gamma Delta T cells",-1.33537236873618,1.04665948971903
"48","ARID3A","MAIT cells",-1.50460950596317,1.13026815922682
"49","ARNT","Atypical NKT cells",-0.808440322166578,0.508670233708725
"50","ARNT","CD8+ CD73+ regulatory T cells",-1.17598735856105,0.911796560703562
"51","ARNT","CD8+ central memory T cells",-1.00841770136643,0.937656745302906
"52","ARNT","CD8+ cycling effector T cells",-1.16584872445669,0.98995238421684
"53","ARNT","CD8+ effector memory T cells 1",-1.08408214150073,0.952002130749186
"54","ARNT","CD8+ effector memory T cells 2",-0.960337627183371,0.933058971499498
"55","ARNT","CD8+ naive T cells",-1.19399729280607,0.832087316308702
"56","ARNT","CD8+ NK-like early effector T cells",-0.841629581246151,1.02841908267017
"57","ARNT","CD8+ NK-like TEMRA cells",-1.01058342441636,0.968178827862816
"58","ARNT","CD8+ TEMRA cells",-0.991453546958821,0.942336926188455
"59","ARNT","Gamma Delta T cells",-0.897379016648114,1.01956642795268
"60","ARNT","MAIT cells",-0.870879466791355,0.928480388289716
