"","tf","cell_type","avg","std"
"1","AHR","CD8+ CD73+ regulatory T cells",-0.930354536264914,0.791786312026548
"2","AHR","CD8+ central memory T cells",-0.818811988582735,0.951471112568487
"3","AHR","CD8+ cycling effector T cells",-1.60665375216169,0.955437640733479
"4","AHR","CD8+ effector memory T cells 1",-1.06405642058143,0.906041037222521
"5","AHR","CD8+ effector memory T cells 2",-1.18416718413301,0.965562265469067
"6","AHR","CD8+ exhausted T cells",-1.64562326734281,0.815164312389211
"7","AHR","CD8+ naive T cells",-1.03744684239788,0.820454640865755
"8","AHR","CD8+ NK-like early effector T cells",-1.05757385751651,0.941612017760948
"9","AHR","CD8+ NK-like TEMRA cells",-1.19493946229714,0.980228925263692
"10","AHR","CD8+ TEMRA cells",-1.25733748620139,0.869324835337025
"11","AHR","Gamma Delta T cells",-1.13451391082113,0.716210628844712
"12","AHR","MAIT cells",-0.88061297529499,0.899812947142793
"13","AR","CD8+ CD73+ regulatory T cells",-3.10729150756021,1.13594613836274
"14","AR","CD8+ central memory T cells",-2.77855276146302,1.21710417777851
"15","AR","CD8+ cycling effector T cells",-2.00620993630724,1.31534706356509
"16","AR","CD8+ effector memory T cells 1",-2.58647101294948,1.2069535769829
"17","AR","CD8+ effector memory T cells 2",-2.30148913765837,1.2884023310371
"18","AR","CD8+ exhausted T cells",-1.79024489740721,1.32379289304765
"19","AR","CD8+ naive T cells",-3.09856029962131,1.15201088722933
"20","AR","CD8+ NK-like early effector T cells",-2.73870290624596,1.0558466927872
"21","AR","CD8+ NK-like TEMRA cells",-2.49648308909532,1.08134642681626
"22","AR","CD8+ TEMRA cells",-2.87332882485151,1.14306469321321
"23","AR","Gamma Delta T cells",-2.7467198619087,1.31009290369853
"24","AR","MAIT cells",-2.52600586286121,1.16816763791008
"25","ARID2","CD8+ CD73+ regulatory T cells",-3.39930476626161,1.16617530637632
"26","ARID2","CD8+ central memory T cells",-3.39871366009747,1.15139772307625
