"","Pathway","CellType","avg","std"
"1","Androgen","Atypical NKT cells",-0.0205382180801446,0.850558022764455
"2","Androgen","CD8+ CD73+ regulatory T cells",-0.284544488673193,0.885483085193747
"3","Androgen","CD8+ central memory T cells",-0.0477301597048553,0.986986811922657
"4","Androgen","CD8+ cycling effector T cells",0.592030973682303,0.84102499959184
"5","Androgen","CD8+ effector memory T cells 1",0.00271219621117268,1.00157694758025
"6","Androgen","CD8+ effector memory T cells 2",0.295917501466033,0.933445242177094
"7","Androgen","CD8+ exhausted T cells",1.15513006544477,NA
"8","Androgen","CD8+ naive T cells",-0.707451702804655,0.890091686192281
"9","Androgen","CD8+ NK-like early effector T cells",-0.0876195277651447,1.06636768211392
"10","Androgen","CD8+ NK-like TEMRA cells",-0.175212524866926,0.969354041573148
"11","Androgen","CD8+ TEMRA cells",-0.0464733558345166,0.963706033367642
"12","Androgen","Gamma Delta T cells",0.297082572765022,1.0173879803452
"13","Androgen","MAIT cells",0.571793595747595,1.08543714961324
"14","EGFR","Atypical NKT cells",0.0542566351115809,1.02297613860566
"15","EGFR","CD8+ CD73+ regulatory T cells",-0.196994876380674,0.887865819173126
"16","EGFR","CD8+ central memory T cells",-0.238483690023498,0.922507744557376
"17","EGFR","CD8+ cycling effector T cells",0.90787823009417,1.0792240566442
"18","EGFR","CD8+ effector memory T cells 1",0.069441608315027,0.947961833837727
"19","EGFR","CD8+ effector memory T cells 2",-0.228555602376491,1.00223405637077
"20","EGFR","CD8+ exhausted T cells",-1.1557604121365,NA
"21","EGFR","CD8+ naive T cells",-0.421276685977401,0.874540081985307
"22","EGFR","CD8+ NK-like early effector T cells",0.078293655024778,0.930809200877525
"23","EGFR","CD8+ NK-like TEMRA cells",0.0416764623938615,0.983892914231319
"24","EGFR","CD8+ TEMRA cells",0.025706318404345,0.995381016008023
"25","EGFR","Gamma Delta T cells",0.0360381528771861,1.11885141635083
"26","EGFR","MAIT cells",0.00625551553603053,0.903656869361883
"27","Estrogen","Atypical NKT cells",0.372698275292685,0.96760409854779
"28","Estrogen","CD8+ CD73+ regulatory T cells",0.488050230013972,0.955805396292638
"29","Estrogen","CD8+ central memory T cells",0.595373201197684,0.83703074740652
"30","Estrogen","CD8+ cycling effector T cells",0.250716536434857,0.803687149246409
"31","Estrogen","CD8+ effector memory T cells 1",0.0936872382755468,0.991730538873952
"32","Estrogen","CD8+ effector memory T cells 2",-0.390724804610037,0.940374674218361
"33","Estrogen","CD8+ exhausted T cells",-1.08652147039928,NA
"34","Estrogen","CD8+ naive T cells",0.80141621084108,0.952903604058164
"35","Estrogen","CD8+ NK-like early effector T cells",0.293268936537255,0.920653959471247
"36","Estrogen","CD8+ NK-like TEMRA cells",-0.213129653223389,0.957388311747927
"37","Estrogen","CD8+ TEMRA cells",-0.225011709601679,0.932436037067644
"38","Estrogen","Gamma Delta T cells",0.220007103412766,1.02571681924801
"39","Estrogen","MAIT cells",0.624595909741586,0.952728350605423
"40","Hypoxia","Atypical NKT cells",0.307458676441589,1.32726688717786
"41","Hypoxia","CD8+ CD73+ regulatory T cells",0.166484211929458,0.871540501753633
"42","Hypoxia","CD8+ central memory T cells",0.166874263746324,0.925984739177524
"43","Hypoxia","CD8+ cycling effector T cells",-0.543203993176876,1.00271681291078
"44","Hypoxia","CD8+ effector memory T cells 1",0.0401552016163127,0.998528990990183
"45","Hypoxia","CD8+ effector memory T cells 2",-0.0665317268317503,0.964194567404786
"46","Hypoxia","CD8+ exhausted T cells",-1.45263272106616,NA
"47","Hypoxia","CD8+ naive T cells",-0.294701194747689,0.926448821410227
"48","Hypoxia","CD8+ NK-like early effector T cells",0.288233889262349,0.986668359357888
"49","Hypoxia","CD8+ NK-like TEMRA cells",0.0714760428898759,1.06017661125862
"50","Hypoxia","CD8+ TEMRA cells",-0.0225482237188044,1.00031950902461
"51","Hypoxia","Gamma Delta T cells",0.398528534272064,0.942291936334668
"52","Hypoxia","MAIT cells",0.296991877751772,0.965474510405386
"53","JAK-STAT","Atypical NKT cells",-0.183585682852541,0.322248750064183
"54","JAK-STAT","CD8+ CD73+ regulatory T cells",-0.858401813207816,0.681222870436533
"55","JAK-STAT","CD8+ central memory T cells",-0.821015308712004,0.666211283019912
"56","JAK-STAT","CD8+ cycling effector T cells",0.649226963480089,0.887870766000883
"57","JAK-STAT","CD8+ effector memory T cells 1",-0.261108292177657,0.738555657743476
"58","JAK-STAT","CD8+ effector memory T cells 2",1.27545472651652,1.33906138099013
"59","JAK-STAT","CD8+ exhausted T cells",-0.110954221615352,NA
"60","JAK-STAT","CD8+ naive T cells",-1.15410759973395,0.598619728985257
