"","Pathway","CellType","avg","std"
"1","Androgen","CD8+ CD73+ regulatory T cells",-0.406227076026599,1.00144571753311
"2","Androgen","CD8+ central memory T cells",-0.0183931593312981,0.909263861958977
"3","Androgen","CD8+ cycling effector T cells",0.52731374952385,1.20690501028127
"4","Androgen","CD8+ effector memory T cells 1",0.0882750178222859,0.956278097966558
"5","Androgen","CD8+ effector memory T cells 2",0.429412764770865,0.997566475616271
"6","Androgen","CD8+ exhausted T cells",0.810626180424752,0.965538852553378
"7","Androgen","CD8+ naive T cells",-0.653030279332153,0.87699451237596
"8","Androgen","CD8+ NK-like early effector T cells",0.0958667529820329,0.987376332778822
"9","Androgen","CD8+ NK-like TEMRA cells",0.0739015281020253,1.00710757556942
"10","Androgen","CD8+ TEMRA cells",-0.0566461205080429,0.979441069589494
"11","Androgen","Gamma Delta T cells",0.0716544691225431,1.10745233258548
"12","Androgen","MAIT cells",0.391122687043091,1.05424128361595
"13","EGFR","CD8+ CD73+ regulatory T cells",-0.0328401682601257,0.926476473352874
"14","EGFR","CD8+ central memory T cells",-0.129843240087082,0.961223967855392
"15","EGFR","CD8+ cycling effector T cells",0.61695555410849,1.06781189833287
"16","EGFR","CD8+ effector memory T cells 1",0.0479072254138699,0.960977539423335
"17","EGFR","CD8+ effector memory T cells 2",-0.153203198064799,1.03788000526984
"18","EGFR","CD8+ exhausted T cells",-1.0078401687032,1.16392579760166
"19","EGFR","CD8+ naive T cells",-0.507758789519835,0.845963940342499
"20","EGFR","CD8+ NK-like early effector T cells",0.19635436629217,0.887978692019428
"21","EGFR","CD8+ NK-like TEMRA cells",0.138137991765455,0.984610032934915
"22","EGFR","CD8+ TEMRA cells",0.17925130067723,0.988969555119877
"23","EGFR","Gamma Delta T cells",-0.289891374427219,1.27069096497669
"24","EGFR","MAIT cells",0.0926438790381355,1.0774866547647
"25","Estrogen","CD8+ CD73+ regulatory T cells",0.47971583311774,0.959780734363743
"26","Estrogen","CD8+ central memory T cells",0.268062974233451,0.935737367416651
"27","Estrogen","CD8+ cycling effector T cells",0.221893535251146,1.07311752678984
"28","Estrogen","CD8+ effector memory T cells 1",-0.112967840378131,0.947168120547098
"29","Estrogen","CD8+ effector memory T cells 2",-0.270296438824043,0.937447851435367
"30","Estrogen","CD8+ exhausted T cells",-0.551132245274564,1.08810713458941
"31","Estrogen","CD8+ naive T cells",0.773440315574161,0.917539048240505
"32","Estrogen","CD8+ NK-like early effector T cells",-0.223760479581697,0.933502133946567
"33","Estrogen","CD8+ NK-like TEMRA cells",-0.447192216290612,0.903170757953533
"34","Estrogen","CD8+ TEMRA cells",-0.15865302198058,0.966256170431221
"35","Estrogen","Gamma Delta T cells",-0.0156908401592109,1.0317264473151
"36","Estrogen","MAIT cells",0.312193399257476,0.975066888174581
"37","Hypoxia","CD8+ CD73+ regulatory T cells",-0.0571318590209389,1.01403824601816
"38","Hypoxia","CD8+ central memory T cells",0.14505628267955,0.914408825695673
