gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical NKT cells	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ exhausted T cells	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	1.403	0.615	1.93	1.536	1.645	0.775	1.413	1.922	1.613	1.472	0.519	0.995	0.969
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.015	0.0	0.0	0.003	0.002	0.0	0.003	0.0	0.0	0.0	0.012	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0	0.015	0.0	0.0	0.003	0.002	0.0	0.003	0.0	0.0	0.0	0.012	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0	0.015	0.0	0.0	0.003	0.002	0.0	0.003	0.0	0.0	0.0	0.012	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0	0.015	0.0	0.0	0.003	0.002	0.0	0.003	0.0	0.0	0.0	0.012	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0	0.015	0.0	0.0	0.003	0.002	0.0	0.003	0.0	0.0	0.0	0.012	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.0	0.0	0.072	0.0	0.016	0.042	0.018	0.016	0.022	1.472	0.0	0.02	0.039
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.53	0.333	1.13	0.215	0.541	0.232	0.473	0.587	0.673	1.175	0.146	0.672	0.166
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.0	0.0	0.072	0.0	0.016	0.042	0.018	0.016	0.022	1.472	0.0	0.02	0.039
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.212	0.31	0.163	0.139	0.068	0.078	0.217	0.085	0.0	0.121	0.055	0.074
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.53	0.333	1.13	0.215	0.541	0.232	0.473	0.587	0.673	1.175	0.146	0.672	0.166
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.834	0.155	0.042	0.258	0.158	0.183	0.207	0.094	0.192	0.0	0.098	0.359	0.168
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.0	0.026	0.138	0.1	0.121	0.107	0.13	0.116	0.261	0.0	0.077	0.184	0.077
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.0	0.039	0.012	0.161	0.026	0.128	0.031	0.095	0.058	0.0	0.111	0.007	0.085
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.503	0.548	0.485	0.735	0.507	0.692	0.438	0.713	0.614	0.0	0.458	0.254	0.649
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.508	0.528	0.183	0.878	0.166	0.734	0.074	0.151	0.076	0.0	0.291	0.308	0.202
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.0	0.0	0.007	0.014	0.008	0.017	0.012	0.01	0.007	0.0	0.005	0.033	0.005
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	1.407	0.225	1.359	0.444	1.056	0.129	0.923	1.09	1.219	0.0	0.152	1.876	0.97
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.54	0.235	0.322	0.363	0.387	0.284	0.472	0.318	0.391	0.751	0.197	0.47	0.358
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0	0.0	0.0	0.019	0.0	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.0	0.013	0.0	0.0	0.001	0.016	0.0	0.001	0.001	0.0	0.015	0.0	0.005
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	4.201	3.527	3.918	3.804	3.837	3.54	3.522	3.81	3.741	3.665	3.368	4.141	3.836
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.794	0.333	0.563	0.626	0.556	0.385	0.567	0.506	0.52	0.751	0.343	0.804	0.471
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.0	0.0	0.417	0.0	0.034	0.003	0.049	0.003	0.006	0.0	0.0	0.541	0.0
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.002	0.0	0.0	0.005	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.272	0.015	0.058	0.038	0.155	0.033	0.168	0.212	0.313	0.0	0.019	0.012	0.086
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.383	0.043	0.115	0.163	0.199	0.029	0.172	0.067	0.158	0.0	0.024	0.141	0.083
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.0	0.035	0.022	0.0	0.024	0.05	0.036	0.034	0.02	0.0	0.026	0.036	0.02
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	4.201	3.527	3.918	3.804	3.837	3.54	3.522	3.81	3.741	3.665	3.368	4.141	3.836
HLA-C	HLAC	False	HLAC		CPI-SS0ABD11350	4.201	3.527	3.918	3.804	3.837	3.54	3.522	3.81	3.741	3.665	3.368	4.141	3.836
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.272	0.015	0.058	0.038	0.155	0.033	0.168	0.212	0.313	0.0	0.019	0.012	0.086
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.005	0.0	0.0	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.272	0.015	0.058	0.038	0.155	0.033	0.168	0.212	0.313	0.0	0.019	0.012	0.086
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	1.84	1.172	2.887	2.359	2.875	1.805	3.316	3.37	3.465	3.72	1.448	1.881	2.42
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.0	0.018	0.069	0.017	0.026	0.026	0.012	0.046	0.041	0.0	0.024	0.037	0.047
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.797	0.164	0.303	0.204	0.314	0.118	0.368	0.251	0.328	0.0	0.16	0.496	0.263
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.504	0.156	0.479	0.19	0.496	0.176	0.519	0.314	0.62	1.886	0.111	0.692	0.345
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	1.84	1.172	2.887	2.359	2.875	1.805	3.316	3.37	3.465	3.72	1.448	1.881	2.42
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.503	0.548	0.485	0.735	0.507	0.692	0.438	0.713	0.614	0.0	0.458	0.254	0.649
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	1.483	0.609	1.829	1.344	1.775	0.822	1.533	1.77	1.736	1.175	0.587	1.035	0.786
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.0	0.054	0.024	0.019	0.026	0.034	0.063	0.031	0.053	0.0	0.015	0.021	0.03
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.0	0.0	0.028	0.0	0.013	0.008	0.004	0.009	0.005	0.0	0.011	0.042	0.028
