gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical_NKT_cells	CD8+_CD73+_regulatory_T_cells	CD8+_NK-like_TEMRA_cells	CD8+_NK-like_early_effector_T_cells	CD8+_TEMRA_cells	CD8+_central_memory_T_cells	CD8+_cycling_effector_T_cells	CD8+_effector_memory_T_cells_1	CD8+_effector_memory_T_cells_2	CD8+_naive_T_cells	Gamma_Delta_T_cells	MAIT_cells
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	1.58	0.517	1.505	0.631	1.422	0.345	1.54	1.269	1.662	0.14	0.947	0.715
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.0	0.002	0.0	0.003	0.001	0.043	0.006	0.0	0.016	0.011	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0	0.0	0.002	0.0	0.003	0.001	0.043	0.006	0.0	0.016	0.011	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0	0.0	0.002	0.0	0.003	0.001	0.043	0.006	0.0	0.016	0.011	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0	0.0	0.002	0.0	0.003	0.001	0.043	0.006	0.0	0.016	0.011	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0	0.0	0.002	0.0	0.003	0.001	0.043	0.006	0.0	0.016	0.011	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.016	0.007	0.036	0.02	0.023	0.046	0.0	0.012	0.007	0.009	0.013	0.018
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.0	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.309	0.155	0.863	0.244	0.616	0.136	0.643	0.492	0.581	0.049	0.44	0.032
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.016	0.007	0.036	0.02	0.023	0.046	0.0	0.012	0.007	0.009	0.013	0.018
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.149	0.093	0.244	0.038	0.173	0.026	0.104	0.185	0.153	0.147	0.042	0.166
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.309	0.155	0.863	0.244	0.616	0.136	0.643	0.492	0.581	0.049	0.44	0.032
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.333	0.221	0.03	0.211	0.178	0.141	0.124	0.111	0.177	0.105	0.296	0.245
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
