gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ exhausted T cells	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.559	1.942	1.351	1.864	1.149	1.593	1.88	1.976	0.443	0.264	0.956	1.058
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.017	0.0	0.0	0.002	0.003	0.0	0.007	0.005	0.057	0.009	0.0	0.009
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.017	0.0	0.0	0.002	0.003	0.0	0.007	0.005	0.057	0.009	0.0	0.009
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.017	0.0	0.0	0.002	0.003	0.0	0.007	0.005	0.057	0.009	0.0	0.009
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.017	0.0	0.0	0.002	0.003	0.0	0.007	0.005	0.057	0.009	0.0	0.009
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.017	0.0	0.0	0.002	0.003	0.0	0.007	0.005	0.057	0.009	0.0	0.009
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.0	0.012	0.017	0.018	0.016	0.046	0.016	0.029	1.114	0.0	0.0	0.014
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.003	0.0	0.007	0.0	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.164	0.777	0.278	0.366	0.321	0.584	0.546	0.636	1.73	0.08	0.496	0.207
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.0	0.012	0.017	0.018	0.016	0.046	0.016	0.029	1.114	0.0	0.0	0.014
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.075	0.208	0.045	0.134	0.115	0.133	0.198	0.236	0.024	0.133	0.081	0.161
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.164	0.777	0.278	0.366	0.321	0.584	0.546	0.636	1.73	0.08	0.496	0.207
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.301	0.06	0.483	0.199	0.197	0.19	0.115	0.158	0.039	0.118	0.233	0.174
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.0	0.131	0.135	0.1	0.093	0.127	0.088	0.22	0.417	0.046	0.229	0.049
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.625	0.893	0.82	0.678	0.826	0.788	0.844	0.938	1.166	0.597	0.258	0.778
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.502	0.142	0.683	0.183	0.488	0.055	0.101	0.081	0.0	0.377	0.338	0.251
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.0	0.009	0.0	0.014	0.029	0.017	0.008	0.015	0.122	0.015	0.028	0.035
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	0.08	1.385	0.447	1.246	0.071	0.795	0.724	0.967	0.7	0.004	1.313	0.455
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.272	0.454	0.476	0.411	0.324	0.393	0.359	0.414	0.385	0.183	0.731	0.478
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.012	0.0	0.0	0.003	0.002	0.0	0.003	0.003	0.0	0.002	0.0	0.0
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0	0.0	0.0	0.002	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.015	0.0	0.014	0.002	0.002	0.0	0.001	0.0	0.0	0.012	0.0	0.008
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	3.122	3.639	3.434	3.645	3.17	3.306	3.449	3.515	3.159	2.791	3.796	3.468
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.523	0.636	0.406	0.526	0.426	0.426	0.471	0.471	0.487	0.354	0.674	0.423
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.018	0.264	0.069	0.006	0.001	0.0	0.003	0.005	0.0	0.0	0.4	0.0
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0	0.0	0.011	0.0	0.007	0.0	0.0	0.0	0.0	0.004	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.019	0.066	0.072	0.124	0.075	0.237	0.15	0.276	0.174	0.016	0.0	0.078
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.032	0.131	0.085	0.127	0.017	0.11	0.055	0.047	0.0	0.002	0.281	0.083
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.0	0.053	0.067	0.033	0.047	0.024	0.033	0.051	0.097	0.038	0.076	0.038
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	3.122	3.639	3.434	3.645	3.17	3.306	3.449	3.515	3.159	2.791	3.796	3.468
HLA-C	HLAC	False	HLAC		CPI-SS0ABD11350	3.122	3.639	3.434	3.645	3.17	3.306	3.449	3.515	3.159	2.791	3.796	3.468
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS0D26F639E	0.018	0.264	0.069	0.006	0.001	0.0	0.003	0.005	0.0	0.0	0.4	0.0
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS02246DA17	0.585	0.308	1.051	0.417	0.423	0.734	0.621	0.734	1.078	0.197	0.218	0.392
