gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical NKT cells	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	1.747	0.471	1.4	0.378	1.432	0.764	1.512	1.35	1.762	0.249	0.628	0.78
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.0	0.014	0.018	0.002	0.003	0.0	0.001	0.007	0.011	0.028	0.001
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0	0.0	0.014	0.018	0.002	0.003	0.0	0.001	0.007	0.011	0.028	0.001
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0	0.0	0.014	0.018	0.002	0.003	0.0	0.001	0.007	0.011	0.028	0.001
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0	0.0	0.014	0.018	0.002	0.003	0.0	0.001	0.007	0.011	0.028	0.001
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0	0.0	0.014	0.018	0.002	0.003	0.0	0.001	0.007	0.011	0.028	0.001
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.0	0.0	0.029	0.0	0.057	0.007	0.059	0.015	0.07	0.0	0.017	0.019
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.006	0.001	0.027	0.002
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.156	0.19	1.082	0.116	0.422	0.239	0.367	0.527	0.532	0.018	0.551	0.046
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.0	0.0	0.029	0.0	0.057	0.007	0.059	0.015	0.07	0.0	0.017	0.019
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.264	0.288	0.178	0.159	0.208	0.157	0.269	0.2	0.327	0.047	0.11
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.006	0.001	0.027	0.002
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.156	0.19	1.082	0.116	0.422	0.239	0.367	0.527	0.532	0.018	0.551	0.046
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.537	0.22	0.11	0.102	0.273	0.223	0.2	0.106	0.218	0.086	0.28	0.156
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.001	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.96	0.723	0.694	0.772	0.708	0.759	0.77	0.838	0.891	0.691	0.388	0.814
